Time (UTC +02:00 yyyy-MM-dd HH:mm:ss);Frequency (A) (Hz)
2026-05-13 10:24:41;178571,44
2026-05-13 10:24:42;224820,16
2026-05-13 10:24:42;231481,47
2026-05-13 10:24:42;223214,3
2026-05-13 10:24:42;189393,94
2026-05-13 10:24:42;264830,53
2026-05-13 10:24:42;201612,89
2026-05-13 10:24:42;247524,75
2026-05-13 10:24:42;130208,336
2026-05-13 10:24:42;41946,31
2026-05-13 10:24:42;390625
2026-05-13 10:24:42;121753,25
2026-05-13 10:24:42;306372,53
2026-05-13 10:24:42;206611,58
2026-05-13 10:24:42;274725,28
2026-05-13 10:24:42;140449,44
2026-05-13 10:24:42;303398,06
2026-05-13 10:24:42;63131,312
2026-05-13 10:24:42;144230,77
2026-05-13 10:24:42;157563,02
2026-05-13 10:24:42;255102,05
2026-05-13 10:24:42;108381,51
2026-05-13 10:24:42;224820,16
2026-05-13 10:24:42;167410,72
2026-05-13 10:24:42;197368,42
2026-05-13 10:24:42;227272,73
2026-05-13 10:24:42;284090,9
2026-05-13 10:24:42;57870,375
2026-05-13 10:24:42;250000
2026-05-13 10:24:42;179856,11
2026-05-13 10:24:42;252016,14
2026-05-13 10:24:42;156250
2026-05-13 10:24:42;210674,17
2026-05-13 10:24:42;197784,8
2026-05-13 10:24:42;229779,42
2026-05-13 10:24:42;301204,8
2026-05-13 10:24:42;157563,02
2026-05-13 10:24:42;77160,49
2026-05-13 10:24:42;125000
2026-05-13 10:24:42;154702,97
2026-05-13 10:24:42;242718,44
2026-05-13 10:24:42;225903,61
2026-05-13 10:24:42;284090,94
2026-05-13 10:24:42;132978,72
2026-05-13 10:24:42;156250
2026-05-13 10:24:42;220588,25
2026-05-13 10:24:42;279850,75
2026-05-13 10:24:42;229357,78
2026-05-13 10:24:42;86805,555
2026-05-13 10:24:42;115740,75
2026-05-13 10:24:42;201612,89
2026-05-13 10:24:42;266768,3
2026-05-13 10:24:42;104166,67
2026-05-13 10:24:42;176056,34
2026-05-13 10:24:42;151209,69
2026-05-13 10:24:42;157563,03
2026-05-13 10:24:42;181159,42
2026-05-13 10:24:42;197368,42
2026-05-13 10:24:42;168918,92
2026-05-13 10:24:42;201612,9
2026-05-13 10:24:42;228658,55
2026-05-13 10:24:42;145348,84
2026-05-13 10:24:42;328947,38
2026-05-13 10:24:42;166666,66
2026-05-13 10:24:42;220588,25
2026-05-13 10:24:42;234962,4
2026-05-13 10:24:42;227272,73
2026-05-13 10:24:42;231481,5
2026-05-13 10:24:42;153688,53
2026-05-13 10:24:42;403225,8
2026-05-13 10:24:42;164473,69
2026-05-13 10:24:42;267094,03
2026-05-13 10:24:42;217391,3
2026-05-13 10:24:42;231481,5
2026-05-13 10:24:42;160256,4
2026-05-13 10:24:42;142045,47
2026-05-13 10:24:42;131578,95
2026-05-13 10:24:42;231481,5
2026-05-13 10:24:42;378787,88
2026-05-13 10:24:42;357142,84
2026-05-13 10:24:42;271739,12
2026-05-13 10:24:42;160256,4
2026-05-13 10:24:42;153688,53
2026-05-13 10:24:42;220588,25
2026-05-13 10:24:42;277777,78
2026-05-13 10:24:42;126262,625
2026-05-13 10:24:42;390625
2026-05-13 10:24:42;143678,16
2026-05-13 10:24:42;297619,06
2026-05-13 10:24:42;215517,23
2026-05-13 10:24:42;357142,88
2026-05-13 10:24:42;446428,6
2026-05-13 10:24:42;189393,94
2026-05-13 10:24:42;183823,53
2026-05-13 10:24:42;225903,61
2026-05-13 10:24:42;107142,86
2026-05-13 10:24:42;275735,28
2026-05-13 10:24:42;217391,33
2026-05-13 10:24:42;82236,836
2026-05-13 10:24:42;161637,92
2026-05-13 10:24:42;231481,5
2026-05-13 10:24:42;152439,03
2026-05-13 10:24:42;375000
2026-05-13 10:24:42;170454,55
2026-05-13 10:24:42;378787,88
2026-05-13 10:24:42;140977,44
2026-05-13 10:24:42;260416,67
2026-05-13 10:24:42;318877,56
2026-05-13 10:24:42;164473,69
2026-05-13 10:24:42;178571,44
2026-05-13 10:24:42;271739,12
2026-05-13 10:24:42;146484,38
2026-05-13 10:24:42;164473,69
2026-05-13 10:24:42;240384,61
2026-05-13 10:24:42;176886,8
2026-05-13 10:24:42;277777,78
2026-05-13 10:24:42;225225,2
2026-05-13 10:24:42;315656,56
2026-05-13 10:24:42;151209,67
2026-05-13 10:24:42;130208,336
2026-05-13 10:24:42;322164,97
2026-05-13 10:24:42;173611,11
2026-05-13 10:24:42;164473,69
2026-05-13 10:24:42;73529,414
2026-05-13 10:24:42;114678,89
2026-05-13 10:24:42;65789,47
2026-05-13 10:24:42;153374,23
2026-05-13 10:24:42;152439,02
2026-05-13 10:24:42;187125,75
2026-05-13 10:24:42;85616,44
2026-05-13 10:24:42;328947,34
2026-05-13 10:24:42;147058,83
2026-05-13 10:24:42;183823,52
2026-05-13 10:24:42;183823,52
2026-05-13 10:24:42;170454,53
2026-05-13 10:24:42;140449,44
2026-05-13 10:24:42;235849,05
2026-05-13 10:24:42;167785,23
2026-05-13 10:24:42;181159,42
2026-05-13 10:24:42;292056,1
2026-05-13 10:24:42;154958,67
2026-05-13 10:24:42;206043,95
2026-05-13 10:24:42;198412,7
2026-05-13 10:24:42;201612,89
2026-05-13 10:24:42;186567,17
2026-05-13 10:24:42;129533,67
2026-05-13 10:24:42;168918,92
2026-05-13 10:24:42;215517,23
2026-05-13 10:24:42;202922,1
2026-05-13 10:24:42;234375
2026-05-13 10:24:42;138888,89
2026-05-13 10:24:42;284090,9
2026-05-13 10:24:42;223214,3
2026-05-13 10:24:42;148221,34
2026-05-13 10:24:42;168918,92
2026-05-13 10:24:42;362318,84
2026-05-13 10:24:42;79113,92
2026-05-13 10:24:42;201612,9
2026-05-13 10:24:42;257731,97
2026-05-13 10:24:42;167410,72
2026-05-13 10:24:42;211864,4
2026-05-13 10:24:42;160256,4
2026-05-13 10:24:42;106837,62
2026-05-13 10:24:42;62500
2026-05-13 10:24:42;71839,08
2026-05-13 10:24:42;148809,53
2026-05-13 10:24:42;146484,38
2026-05-13 10:24:42;78616,35
2026-05-13 10:24:42;96153,84
2026-05-13 10:24:42;210084,03
2026-05-13 10:24:42;208333,34
2026-05-13 10:24:42;200000
2026-05-13 10:24:42;132042,25
2026-05-13 10:24:42;229357,81
2026-05-13 10:24:42;182481,75
2026-05-13 10:24:42;126689,19
2026-05-13 10:24:42;93984,96
2026-05-13 10:24:42;NaN
2026-05-13 10:24:42;181159,42
2026-05-13 10:24:42;279850,75
2026-05-13 10:24:42;185185,17
2026-05-13 10:24:42;110946,74
2026-05-13 10:24:42;201612,9
2026-05-13 10:24:42;NaN
2026-05-13 10:24:42;71839,08
2026-05-13 10:24:42;294117,66
2026-05-13 10:24:42;255102,05
2026-05-13 10:24:42;107758,62
2026-05-13 10:24:42;302419,34
2026-05-13 10:24:42;120967,74
2026-05-13 10:24:42;160256,4
2026-05-13 10:24:42;309405,94
2026-05-13 10:24:42;267857,12
2026-05-13 10:24:42;284090,9
2026-05-13 10:24:42;190839,69
2026-05-13 10:24:42;117924,54
2026-05-13 10:24:42;142045,45
2026-05-13 10:24:42;223214,3
2026-05-13 10:24:42;75301,2
2026-05-13 10:24:42;245098,03
2026-05-13 10:24:42;183823,53
2026-05-13 10:24:42;297619,06
2026-05-13 10:24:42;312500
2026-05-13 10:24:42;183823,53
2026-05-13 10:24:43;200534,77
2026-05-13 10:24:43;173611,11
2026-05-13 10:24:43;88028,17
2026-05-13 10:24:43;275735,3
2026-05-13 10:24:43;446428,6
2026-05-13 10:24:43;217391,3
2026-05-13 10:24:43;NaN
2026-05-13 10:24:43;105042,02
2026-05-13 10:24:43;213068,19
2026-05-13 10:24:43;118670,88
2026-05-13 10:24:43;256147,53
2026-05-13 10:24:43;218023,25
2026-05-13 10:24:43;229779,42
2026-05-13 10:24:43;74404,766
2026-05-13 10:24:43;147058,83
2026-05-13 10:24:43;281954,88
2026-05-13 10:24:43;83333,33
2026-05-13 10:24:43;120192,305
2026-05-13 10:24:43;51229,504
2026-05-13 10:24:43;183823,53
2026-05-13 10:24:43;201612,89
2026-05-13 10:24:43;105932,2
2026-05-13 10:24:43;191326,52
2026-05-13 10:24:43;156250
2026-05-13 10:24:43;113636,36
2026-05-13 10:24:43;223214,3
2026-05-13 10:24:43;150000
2026-05-13 10:24:43;185185,17
2026-05-13 10:24:43;246710,53
2026-05-13 10:24:43;247524,75
2026-05-13 10:24:43;130208,32
2026-05-13 10:24:43;148809,53
2026-05-13 10:24:43;248344,36
2026-05-13 10:24:43;315126,06
2026-05-13 10:24:43;211864,4
2026-05-13 10:24:43;203252,05
2026-05-13 10:24:43;71022,73
2026-05-13 10:24:43;176056,34
2026-05-13 10:24:43;97656,25
2026-05-13 10:24:43;183823,53
2026-05-13 10:24:43;128424,65
2026-05-13 10:24:43;183823,53
2026-05-13 10:24:43;168918,92
2026-05-13 10:24:43;189393,95
2026-05-13 10:24:43;210674,17
2026-05-13 10:24:43;231481,5
2026-05-13 10:24:43;72674,42
2026-05-13 10:24:43;231481,5
2026-05-13 10:24:43;215517,23
2026-05-13 10:24:43;171232,88
2026-05-13 10:24:43;271739,12
2026-05-13 10:24:43;568181,8
2026-05-13 10:24:43;252525,25
2026-05-13 10:24:43;157563,02
2026-05-13 10:24:43;217391,33
2026-05-13 10:24:43;128424,65
2026-05-13 10:24:43;225903,61
2026-05-13 10:24:43;250000
2026-05-13 10:24:43;446428,6
2026-05-13 10:24:43;NaN
2026-05-13 10:24:43;185643,56
2026-05-13 10:24:43;250000
2026-05-13 10:24:43;288461,53
2026-05-13 10:24:43;215517,23
2026-05-13 10:24:43;104166,664
2026-05-13 10:24:43;225903,61
2026-05-13 10:24:43;88028,17
2026-05-13 10:24:43;138888,89
2026-05-13 10:24:43;245098,03
2026-05-13 10:24:43;134892,1
2026-05-13 10:24:43;246710,53
2026-05-13 10:24:43;208333,33
2026-05-13 10:24:43;NaN
2026-05-13 10:24:43;213068,19
2026-05-13 10:24:43;182481,77
2026-05-13 10:24:43;156250
2026-05-13 10:24:43;129310,34
2026-05-13 10:24:43;106534,09
2026-05-13 10:24:43;231481,5
2026-05-13 10:24:43;140977,44
2026-05-13 10:24:43;176886,8
2026-05-13 10:24:43;NaN
2026-05-13 10:24:43;288461,53
2026-05-13 10:24:43;142045,45
2026-05-13 10:24:43;185643,56
2026-05-13 10:24:43;253378,38
2026-05-13 10:24:43;100806,445
2026-05-13 10:24:43;267094,03
2026-05-13 10:24:43;258264,47
2026-05-13 10:24:43;416666,66
2026-05-13 10:24:43;217391,3
2026-05-13 10:24:43;211864,4
2026-05-13 10:24:43;185643,56
2026-05-13 10:24:43;255102,05
2026-05-13 10:24:43;312500,03
2026-05-13 10:24:43;250000
2026-05-13 10:24:43;208333,34
2026-05-13 10:24:43;110294,125
2026-05-13 10:24:43;168918,92
2026-05-13 10:24:43;140449,44
2026-05-13 10:24:43;183823,53
2026-05-13 10:24:43;229779,42
2026-05-13 10:24:43;132978,72
2026-05-13 10:24:43;290697,7
2026-05-13 10:24:43;317796,62
2026-05-13 10:24:43;218023,25
2026-05-13 10:24:43;186567,17
2026-05-13 10:24:43;382653,03
2026-05-13 10:24:43;231481,5
2026-05-13 10:24:43;242718,44
2026-05-13 10:24:43;297619,06
2026-05-13 10:24:43;264830,53
2026-05-13 10:24:43;195312,5
2026-05-13 10:24:43;102459,02
2026-05-13 10:24:43;74404,766
2026-05-13 10:24:43;292968,75
2026-05-13 10:24:43;297619,06
2026-05-13 10:24:43;257731,97
2026-05-13 10:24:43;240384,61
2026-05-13 10:24:43;157563,02
2026-05-13 10:24:43;312500
2026-05-13 10:24:43;213068,19
2026-05-13 10:24:43;187500
2026-05-13 10:24:43;119047,62
2026-05-13 10:24:43;195312,5
2026-05-13 10:24:43;302419,38
2026-05-13 10:24:43;136292,83
2026-05-13 10:24:43;373134,34
2026-05-13 10:24:43;238095,23
2026-05-13 10:24:43;253378,4
2026-05-13 10:24:43;79113,92
2026-05-13 10:24:43;337837,84
2026-05-13 10:24:43;178571,44
2026-05-13 10:24:43;197368,42
2026-05-13 10:24:43;182481,75
2026-05-13 10:24:43;96899,23
2026-05-13 10:24:43;173611,11
2026-05-13 10:24:43;316455,7
2026-05-13 10:24:43;156250
2026-05-13 10:24:43;209731,55
2026-05-13 10:24:43;186011,9
2026-05-13 10:24:43;246710,53
2026-05-13 10:24:43;231481,5
2026-05-13 10:24:43;357142,88
2026-05-13 10:24:43;132978,72
2026-05-13 10:24:43;208333,33
2026-05-13 10:24:43;160256,4
2026-05-13 10:24:43;271739,12
2026-05-13 10:24:43;117924,52
2026-05-13 10:24:43;220588,25
2026-05-13 10:24:43;347222,22
2026-05-13 10:24:43;125000
2026-05-13 10:24:43;168918,92
2026-05-13 10:24:43;114678,89
2026-05-13 10:24:43;123355,266
2026-05-13 10:24:43;240384,61
2026-05-13 10:24:43;238095,23
2026-05-13 10:24:43;173611,11
2026-05-13 10:24:43;115740,75
2026-05-13 10:24:43;294117,66
2026-05-13 10:24:43;152439,03
2026-05-13 10:24:43;300480,78
2026-05-13 10:24:43;173611,11
2026-05-13 10:24:43;130208,336
2026-05-13 10:24:43;87412,586
2026-05-13 10:24:43;126262,625
2026-05-13 10:24:43;164473,67
2026-05-13 10:24:43;76219,516
2026-05-13 10:24:43;154958,67
2026-05-13 10:24:43;244140,62
2026-05-13 10:24:43;315126,06
2026-05-13 10:24:43;80645,164
2026-05-13 10:24:43;339673,9
2026-05-13 10:24:43;192307,7
2026-05-13 10:24:43;127551,02
2026-05-13 10:24:43;119047,62
2026-05-13 10:24:43;220588,22
2026-05-13 10:24:43;210674,17
2026-05-13 10:24:43;213068,19
2026-05-13 10:24:43;185643,56
2026-05-13 10:24:43;132978,72
2026-05-13 10:24:43;253378,38
2026-05-13 10:24:43;198412,7
2026-05-13 10:24:43;150602,4
2026-05-13 10:24:43;125000
2026-05-13 10:24:43;242718,44
2026-05-13 10:24:43;297619,03
2026-05-13 10:24:43;223214,3
2026-05-13 10:24:43;77160,5
2026-05-13 10:24:43;164473,67
2026-05-13 10:24:43;131578,95
2026-05-13 10:24:43;255102,05
2026-05-13 10:24:43;112612,62
2026-05-13 10:24:43;223214,3
2026-05-13 10:24:43;231481,5
2026-05-13 10:24:43;148809,53
2026-05-13 10:24:43;178571,44
2026-05-13 10:24:43;126262,625
2026-05-13 10:24:43;206043,95
2026-05-13 10:24:43;378787,88
2026-05-13 10:24:43;203804,34
2026-05-13 10:24:43;201612,9
2026-05-13 10:24:43;172018,34
2026-05-13 10:24:43;118670,88
2026-05-13 10:24:43;178571,44
2026-05-13 10:24:43;228658,53
